FIPS,ARIMA
46067,
46069,
46071,
46073,
46075,
46077,2022-08-18
46079,
46081,
46083,
46085,2022-07-22
46087,
46089,
46091,
46093,
46095,2023-11-26
46097,2023-04-26
46099,2022-06-10
46101,2023-12-22
46102,
46103,
46105,
46107,
46109,
46111,
46115,
46117,2023-07-19
46119,
46121,
46123,
46125,
46127,2023-03-15
46129,
46135,2022-07-10
46137,
47001,2023-06-22
47003,
47005,
47007,
47009,2024-02-24
47011,
47013,2024-06-28
47015,
47017,
47019,
47021,2023-08-29
47023,
47025,
47027,
47029,
47031,2024-02-03
47033,2024-06-18
47035,
47037,2022-09-28
47039,
47041,
47043,2024-07-02
47045,
47047,2024-04-25
47049,
47051,
47053,
47055,
47057,
47059,
47061,
47063,
47065,2023-06-24
47067,
47069,2024-05-06
47071,
47073,
47075,2024-03-05
47077,
47079,2024-02-17
47081,2024-01-23
47083,
47085,2023-08-06
47087,
47089,
47091,
47093,2022-12-22
47095,
47097,
47099,
47101,
47103,
47105,2023-04-15
47107,
47109,
47111,
47113,2024-05-07
47115,
47117,
47119,2023-02-07
47121,2022-09-08
47123,
47125,2023-03-31
47127,
47129,2023-09-09
47131,
47133,
47135,
47137,
47139,
47141,2024-03-28
47143,
47145,
47147,
47149,2024-02-11
47151,
47153,
47155,2023-12-26
47157,2023-04-19
47159,
47161,2024-08-01
47163,2023-08-07
47165,2024-02-21
47167,
47169,
47171,2023-03-07
47173,
47175,2023-07-28
47177,
47179,2023-04-18
47181,
47183,
47185,
47187,2022-11-22
47189,2023-11-18
48001,
48003,
48005,
48007,
48009,
48011,
48013,
48015,
48017,
48019,
48021,
48023,
48025,
48027,
48029,
48031,
48033,
48035,
48037,
48039,
48041,
48043,
48045,
48047,
48049,
48051,
48053,
48055,
48057,
48059,
48061,
48063,
48065,
48067,
48069,
48071,
48073,
48075,
48077,
48079,
48081,
48083,
48085,
48087,
48089,
48091,
48093,
48095,
48097,
48099,
48101,
48103,
48105,
48107,
48109,
48111,
48113,
48115,
48117,
48119,
48121,
48123,
48125,
48127,
48129,
48131,
48133,
48135,
48137,
48139,
48141,
48143,
48145,
48147,
48149,
48151,
48153,
48155,
48157,
48159,
48161,
48163,
48165,
48167,
48169,
48171,
48173,
48175,
48177,
48179,
48181,
48183,
48185,
48187,
48189,
48191,
48193,
48195,
48197,
48199,
48201,
48203,
48205,
48207,
48209,
48211,
48213,
48215,
48217,
48219,
48221,
48223,
48225,
48227,
48229,
48231,
48233,
48235,
48237,
48239,
48241,
48243,
48245,
48247,
48249,
48251,
48253,
48255,
48257,
48259,
48261,
48263,
48265,
